drone_x,drone_y,drone_z,anchor1_azimuth_error,anchor1_elevation_error,anchor2_azimuth_error,anchor2_elevation_error
1.2,-3.0,0.33,13.429471847153593,8.64890924414155,-0.3225676155277597,5.265835747482299
1.2,-3.0,0.73,3.0837061370695267,-6.249806989826936,-2.058961155668186,-0.8206150621830091
1.2,-3.0,1.13,3.1062481960292416,0.7696188699609934,-0.7982348831772015,-8.177897771104028
1.2,-2.4,0.33,1.5319385942965482,7.490270983957288,0.5958683631519079,-8.057723230855828
1.2,-2.4,0.73,5.932274242328361,-2.5895437045697065,-6.580202692229506,-1.3458940057606696
1.2,-2.4,1.13,3.24298712013848,0.36570111499071345,3.490692066165252,-10.691484852115195
1.2,-1.8,0.33,6.74707465187052,-5.001400135939122,0.9373363201740688,-7.860469659052569
1.2,-1.8,0.73,2.9389011185147638,-1.331639834220141,-0.8371723773099973,-2.9074033838955984
1.2,-1.8,1.13,8.060685222140052,-5.49346902321858,-0.7732622015205379,-6.052292797729081
1.2,-1.2,0.33,3.234741784037567,7.99704628585792,-0.4777517564402842,-7.101297877482807
1.2,-1.2,0.73,5.260434056761255,-3.5995133346339685,-11.965289256198332,1.0091622817514576
1.2,-1.2,1.13,-3.6338259441707805,-2.2336117293651228,2.877250409165299,-1.4434591086915702
1.2,-0.6,0.33,-9.607367435429865,0.1637940253207546,9.180085345642908,-3.830620289456192
1.2,-0.6,0.73,0.6891861110576087,-1.407349267298656,-1.615916061611557,-3.739123339494199
1.2,-0.6,1.13,-9.11187391955292,-0.5881445620059935,10.596508130720395,-2.841184496445294
1.8,-4.2,0.33,6.3714960394949,-10.997696003655903,0.5486048701786217,28.66243973865633
1.8,-4.2,0.73,1.8192801688205975,-6.018957156256391,-0.9734955026062266,1.0809753411345469
1.8,-4.2,1.13,6.0385073535650235,0.615788524637793,-2.3909719193733565,-7.010253745671889
1.8,-3.6,0.33,-0.5466072794080503,-0.13715327247638243,3.58985170501785,4.837907228688437
1.8,-3.6,0.73,2.865051177077987,5.35119710958557,-4.795153533326811,-4.176985374648893
1.8,-3.6,1.13,3.4175935499593493,-11.322958070343873,-4.641670034112565,1.41542734844532
1.8,-3.0,0.33,3.876377891296812,-2.2280677131835205,1.0093163522708721,8.273713719896477
1.8,-3.0,0.73,0.9105307256218964,6.269910765586587,-3.6946676765124096,-7.793100066381015
1.8,-3.0,1.13,-3.987594819277831,0.19177788753458458,-4.206420459232788,-7.76515593461383
1.8,-2.4,0.33,10.00147659321243,-3.44474098408665,4.842245858838709,-6.503714243778461
1.8,-2.4,0.73,8.790198397723714,3.0731729466789943,-2.59711303314387,-7.2029383405321425
1.8,-2.4,1.13,7.820748307469728,-3.343267595684779,-5.0884957201787415,-9.385379420648803
1.8,-1.8,0.33,8.447236180904525,-3.705711483815918,1.4127010960407063,-13.861227772159566
1.8,-1.8,0.73,7.433990895295892,0.9103134560108401,-1.256866631141179,-3.9347716615818342
1.8,-1.8,1.13,5.598540145985396,-1.795033483895395,-3.6362799377306487,-7.5014370421826015
1.8,-1.2,0.33,-1.0335180052130113,-10.924259902355601,-0.39252721541663504,-5.89068273168985
1.8,-1.2,0.73,-5.89099488301224,1.5306675973758388,-0.5896287500426638,-7.577983990694463
1.8,-1.2,1.13,7.347838611204338,6.1774596605684735,-3.4296873868918567,-1.6268211432780504
1.8,-0.6,0.33,0.8195966316234262,-6.154292244154334,8.526448362720402,-1.9588345006712302
